Sector Name	Sector Carrier Name	Switch ID	CGI	Carrier Id	Vendor	Antenna 1	Antenna 2	Antenna 3	MCC	MNC	PCI	LTE Mode	TAC	DL Bandwidth	DL RB	UL Bandwidth	UL RB	DL Channel	UL Channel	Cell Radius	Cell Size	Cell Total Power	Reference Signal Power	PSS Power	SSS Power	PBCH Power	PCFICH Power	Qrxlevmin	QQualMin	SIntraSearch	Preamble cyclic shift	Root Sequence Index	IoT Type	A2 RSRP	A2 RSRQ	B1 UMTS RSCP	B1 UMTS EcNo	B1 GSM RSSI	B2 UMTS RSCP	B2 UMTS EcNo	B2 GSM RSSI	B2 UMTS RSRP	B2 UMTS RSRQ	B2 GSM RSRP	B2 GSM RSRQ	Provisioning Params
LF_KO_E_F8_OM_BDHRD_D	1020-922968-24-1	1519665	404031236279832	3620	ZTE	LF_KO_E_F8_OM_BDHRD_D/1			404	31	253	FDD	14	3.0	15	3.0	15	3620	21620	0.55	Outdoor Macro	46.0	17.4	1.5	1.5	0.0	1.0	-124	-19	44	10	602	Non IoT	-138.0	-15.0	-90.0	-10.0	-95.0	-86.0	-8.0	-47.0	-138.0	-11.0	-138.0	-11.0	Network/PLMN=ZTE_NRM_ROOT|Area=1020|eNB(physical)=2968|eNB(logical)=2968|cell=24|Local Cell id=24|mcc=404|mnc=31|earfcnDl=942.0|earfcnUl=897.0|freqBand=8|TAC=14|bandWidthDl=1|bandWidthUl=1
LF_KO_E_F3_IM_BGGLA_A	1020-922461-1-1	1260035	404031236150017	1366	ZTE	LF_KO_E_F3_IM_BGGLA_A/1			404	31	392	FDD	14	5.0	25	5.0	25	1366	19366	9.8	Outdoor Macro	49.0	18.2	1.5	1.5	0.0	1.0	-124	-19	44	8	208	Non IoT	-138.0	-15.0	-90.0	-10.0	-95.0	-86.0	-8.0	-47.0	-138.0	-11.0	-138.0	-11.0	Network/PLMN=ZTE_NRM_ROOT|Area=1020|eNB(physical)=2461|eNB(logical)=2461|cell=1|Local Cell id=1|mcc=404|mnc=31|earfcnDl=1821.6|earfcnUl=1726.6|freqBand=3|TAC=14|bandWidthDl=2|bandWidthUl=2
LF_KO_E_F3_IM_BGGLB_B	1020-922461-2-1	1260037	404031236150018	1366	ZTE	LF_KO_E_F3_IM_BGGLB_B/1			404	31	390	FDD	14	5.0	25	5.0	25	1366	19366	9.8	Outdoor Macro	49.0	18.2	1.5	1.5	0.0	1.0	-124	-19	44	8	212	Non IoT	-138.0	-15.0	-90.0	-10.0	-95.0	-86.0	-8.0	-47.0	-138.0	-11.0	-138.0	-11.0	Network/PLMN=ZTE_NRM_ROOT|Area=1020|eNB(physical)=2461|eNB(logical)=2461|cell=2|Local Cell id=2|mcc=404|mnc=31|earfcnDl=1821.6|earfcnUl=1726.6|freqBand=3|TAC=14|bandWidthDl=2|bandWidthUl=2
LF_KO_E_F3_IM_BGGLC_C	1020-922461-3-1	1260039	404031236150019	1366	ZTE	LF_KO_E_F3_IM_BGGLC_C/1			404	31	391	FDD	14	5.0	25	5.0	25	1366	19366	9.8	Outdoor Macro	49.0	18.2	1.5	1.5	0.0	1.0	-124	-19	44	8	216	Non IoT	-138.0	-15.0	-90.0	-10.0	-95.0	-86.0	-8.0	-47.0	-138.0	-11.0	-138.0	-11.0	Network/PLMN=ZTE_NRM_ROOT|Area=1020|eNB(physical)=2461|eNB(logical)=2461|cell=3|Local Cell id=3|mcc=404|mnc=31|earfcnDl=1821.6|earfcnUl=1726.6|freqBand=3|TAC=14|bandWidthDl=2|bandWidthUl=2
LF_KO_E_F8_IM_BGGLA_A	1020-922461-21-1	1260075	404031236150037	3620	ZTE	LF_KO_E_F8_IM_BGGLA_A/1			404	31	392	FDD	14	3.0	15	3.0	15	3620	21620	0.55	Outdoor Macro	46.0	21.2	1.5	1.5	0.0	1.0	-124	-19	44	8	525	Non IoT	-138.0	-15.0	-90.0	-10.0	-95.0	-86.0	-8.0	-47.0	-138.0	-11.0	-138.0	-11.0	Network/PLMN=ZTE_NRM_ROOT|Area=1020|eNB(physical)=2461|eNB(logical)=2461|cell=4|Local Cell id=21|mcc=404|mnc=31|earfcnDl=942.0|earfcnUl=897.0|freqBand=8|TAC=14|bandWidthDl=1|bandWidthUl=1
LF_KO_E_F8_IM_BGGLB_B	1020-922461-22-1	1260077	404031236150038	3620	ZTE	LF_KO_E_F8_IM_BGGLB_B/1			404	31	390	FDD	14	3.0	15	3.0	15	3620	21620	0.55	Outdoor Macro	46.0	21.2	1.5	1.5	0.0	1.0	-124	-19	44	8	145	Non IoT	-138.0	-15.0	-90.0	-10.0	-95.0	-86.0	-8.0	-47.0	-138.0	-11.0	-138.0	-11.0	Network/PLMN=ZTE_NRM_ROOT|Area=1020|eNB(physical)=2461|eNB(logical)=2461|cell=5|Local Cell id=22|mcc=404|mnc=31|earfcnDl=942.0|earfcnUl=897.0|freqBand=8|TAC=14|bandWidthDl=1|bandWidthUl=1
LF_KO_E_F8_IM_BGGLC_C	1020-922461-23-1	1260079	404031236150039	3620	ZTE	LF_KO_E_F8_IM_BGGLC_C/1			404	31	391	FDD	14	3.0	15	3.0	15	3620	21620	0.55	Outdoor Macro	46.0	21.2	1.5	1.5	0.0	1.0	-124	-19	44	8	64	Non IoT	-138.0	-15.0	-90.0	-10.0	-95.0	-86.0	-8.0	-47.0	-138.0	-11.0	-138.0	-11.0	Network/PLMN=ZTE_NRM_ROOT|Area=1020|eNB(physical)=2461|eNB(logical)=2461|cell=6|Local Cell id=23|mcc=404|mnc=31|earfcnDl=942.0|earfcnUl=897.0|freqBand=8|TAC=14|bandWidthDl=1|bandWidthUl=1
LF_KO_E_F3_OM_BGPSA_A	1017-910759-1-1	1249795	404031233154305	1366	ZTE	LF_KO_E_F3_OM_BGPSA_A/1			404	31	422	FDD	14	5.0	25	5.0	25	1366	19366	9.8	Outdoor Macro	49.0	21.2	1.5	1.5	0.0	1.0	-124	-19	44	8	700	Non IoT	-138.0	-15.0	-90.0	-10.0	-95.0	-86.0	-8.0	-47.0	-138.0	-11.0	-138.0	-11.0	Network/PLMN=ZTE_NRM_ROOT|Area=1017|eNB(physical)=2441|eNB(logical)=2441|cell=1|Local Cell id=1|mcc=404|mnc=31|earfcnDl=1821.6|earfcnUl=1726.6|freqBand=3|TAC=14|bandWidthDl=2|bandWidthUl=2
LF_KO_E_F3_OM_BGPSB_B	1017-910759-2-1	1249797	404031233154306	1366	ZTE	LF_KO_E_F3_OM_BGPSB_B/1			404	31	420	FDD	14	5.0	25	5.0	25	1366	19366	9.8	Outdoor Macro	49.0	21.2	1.5	1.5	0.0	1.0	-124	-19	44	8	692	Non IoT	-138.0	-15.0	-90.0	-10.0	-95.0	-86.0	-8.0	-47.0	-138.0	-11.0	-138.0	-11.0	Network/PLMN=ZTE_NRM_ROOT|Area=1017|eNB(physical)=2441|eNB(logical)=2441|cell=2|Local Cell id=2|mcc=404|mnc=31|earfcnDl=1821.6|earfcnUl=1726.6|freqBand=3|TAC=14|bandWidthDl=2|bandWidthUl=2
LF_KO_E_F3_OM_BGPSC_C	1017-910759-3-1	1249799	404031233154307	1366	ZTE	LF_KO_E_F3_OM_BGPSC_C/1			404	31	421	FDD	14	5.0	25	5.0	25	1366	19366	9.8	Outdoor Macro	49.0	21.2	1.5	1.5	0.0	1.0	-124	-19	44	8	696	Non IoT	-138.0	-15.0	-90.0	-10.0	-95.0	-86.0	-8.0	-47.0	-138.0	-11.0	-138.0	-11.0	Network/PLMN=ZTE_NRM_ROOT|Area=1017|eNB(physical)=2441|eNB(logical)=2441|cell=3|Local Cell id=3|mcc=404|mnc=31|earfcnDl=1821.6|earfcnUl=1726.6|freqBand=3|TAC=14|bandWidthDl=2|bandWidthUl=2
